DATE,Average Sale price US,Year,Average Sale Price(year),Yearly Change
1/1/1988,137900,,,
4/1/1988,134800,,,
7/1/1988,141500,,,
10/1/1988,140400,,,
1/1/1989,144300,,,
4/1/1989,146800,,,
7/1/1989,150200,,,
10/1/1989,151200,,,
1/1/1990,149500,,,
4/1/1990,151200,,,
7/1/1990,145500,,,
10/1/1990,150100,,,
1/1/1991,151100,,,
4/1/1991,148200,,,
7/1/1991,145400,,,
10/1/1991,144400,,,
1/1/1992,144500,,,
4/1/1992,145300,,,
7/1/1992,141700,,,
10/1/1992,147200,,,
1/1/1993,144700,,,
4/1/1993,148900,,,
7/1/1993,148000,,,
10/1/1993,148300,,,
1/1/1994,153600,,,
4/1/1994,154200,,,
7/1/1994,152800,,,
10/1/1994,156100,,,
1/1/1995,153500,,,
4/1/1995,158900,,,
7/1/1995,157700,,,
10/1/1995,160900,,,
1/1/1996,161100,,,
4/1/1996,166000,,,
7/1/1996,164000,,,
10/1/1996,171000,,,
1/1/1997,172200,,,
4/1/1997,177200,,,
7/1/1997,174700,,,
10/1/1997,175400,,,
1/1/1998,180000,,,
4/1/1998,178800,,,
7/1/1998,184300,,,
10/1/1998,181500,,,
1/1/1999,189100,,,
4/1/1999,191800,,,
7/1/1999,193000,,,
10/1/1999,204800,,,
1/1/2000,202900,,,
4/1/2000,202400,,,
7/1/2000,204100,,,
10/1/2000,212100,,,
1/1/2001,211000,,,
4/1/2001,211200,,,
7/1/2001,207800,,,
10/1/2001,214200,,,
1/1/2002,227600,,,
4/1/2002,227600,,,
7/1/2002,219100,,,
10/1/2002,232500,,,
1/1/2003,233100,,,
4/1/2003,241000,,,
7/1/2003,248100,,,
10/1/2003,256000,,,
1/1/2004,262900,,,
4/1/2004,265300,,,
7/1/2004,274000,,,
10/1/2004,286300,,,
1/1/2005,288500,,,
4/1/2005,287800,,,
7/1/2005,294600,,,
10/1/2005,294200,,,
1/1/2006,305300,,,
4/1/2006,302600,,,
7/1/2006,308100,,,
10/1/2006,299600,,,
1/1/2007,322100,,,
4/1/2007,310100,,,
7/1/2007,301200,,,
10/1/2007,305800,,,
1/1/2008,290400,,,
4/1/2008,304200,,,
7/1/2008,285100,,,
10/1/2008,276600,,,
1/1/2009,257000,,,
4/1/2009,273400,,,
7/1/2009,274100,,,
10/1/2009,272900,,,
1/1/2010,275300,,,
4/1/2010,268800,,,
7/1/2010,266000,,,
10/1/2010,278000,,,
1/1/2011,268100,,,
4/1/2011,267600,,,
7/1/2011,263000,,,
10/1/2011,259700,,,
1/1/2012,278000,,,
4/1/2012,282700,,,
7/1/2012,294500,,,
10/1/2012,297700,,,
1/1/2013,307400,,,
4/1/2013,320400,,,
7/1/2013,324400,,,
10/1/2013,334400,,,
1/1/2014,331400,,,
4/1/2014,340600,,,
7/1/2014,340400,,,
10/1/2014,369400,,,
1/1/2015,348000,,,
4/1/2015,339700,,,
7/1/2015,347400,,,
10/1/2015,366700,,,
1/1/2016,357000,,,
4/1/2016,357900,,,
7/1/2016,358800,,,
10/1/2016,364900,,,
1/1/2017,374800,,,
4/1/2017,376900,,,
7/1/2017,373200,,,
10/1/2017,399700,,,
1/1/2018,374600,,,
4/1/2018,378400,,,
7/1/2018,392900,,,
10/1/2018,384000,,,
1/1/2019,375500,,,
4/1/2019,376700,,,
7/1/2019,382700,,,
10/1/2019,384600,,,
1/1/2020,383000,,,
4/1/2020,374500,,,
7/1/2020,397800,,,
10/1/2020,403900,,,
1/1/2021,418600,,,
4/1/2021,440600,,,
7/1/2021,473000,,,
10/1/2021,497300,,,
1/1/2022,514100,,,
4/1/2022,527500,,,
7/1/2022,547800,,,
10/1/2022,552600,,,
1/1/2023,505300,,,
4/1/2023,503000,,,
7/1/2023,513400,,,
